ID,peak_rank,period_minutes,mean_power,power_smooth
102,1,94.99999999999999,0.06131154109099451,0.06617232627087116
102,2,20.771704180064308,0.004123767097545175,0.003996639550955174
102,3,14.79638009049774,0.0012257033223641678,0.003146205397754866
104,1,96.23880597014924,0.14273095774893346,0.08449784083133142
104,2,20.394736842105264,0.003593539632280234,0.004830565237015204
104,3,14.995348837209301,0.004333626323669987,0.0033481970836482036
107,1,143.5,0.06698987995467907,0.13465771388380948
107,2,24.26086956521739,0.0015258502720316082,0.0031032420449379774
107,3,13.196850393700787,7.914273468297995e-4,0.0013399846501668605
108,1,155.44186046511626,0.18174303732828237,0.10484468324264358
108,2,26.58730158730159,0.002835615786691896,0.005161981150933462
108,3,20.254545454545458,0.0011108995034774664,0.0021468876569785255
109,1,21.270903010033447,0.0034033122540525294,0.003064111716672302
109,2,16.395939086294415,0.0012513203702238962,0.0024762246276192083
109,3,17.22051282051282,5.783641047266164e-4,0.0024642007066484
112,1,150.6046511627907,0.20358156679300332,0.11484170777541397
112,2,159.42857142857144,0.13148773288958873,0.11438253969362705
112,3,21.649484536082475,0.0033422908635152133,0.004160887688676546
