ID,period_minutes,mean_power,power_smooth,peak_idx
102,94.99999999999999,0.06131154109099451,0.06617232627087116,TRUE
102,20.771704180064308,0.004123767097545175,0.003996639550955174,TRUE
102,14.79638009049774,0.0012257033223641678,0.003146205397754866,TRUE
104,96.23880597014924,0.14273095774893346,0.08449784083133142,TRUE
104,20.394736842105264,0.003593539632280234,0.004830565237015204,TRUE
104,14.995348837209301,0.004333626323669987,0.0033481970836482036,TRUE
107,143.5,0.06698987995467907,0.13465771388380948,TRUE
107,24.26086956521739,0.0015258502720316082,0.0031032420449379774,TRUE
107,13.196850393700787,7.914273468297995e-4,0.0013399846501668605,TRUE
108,155.44186046511626,0.18174303732828237,0.10484468324264358,TRUE
108,26.58730158730159,0.002835615786691896,0.005161981150933462,TRUE
108,20.254545454545458,0.0011108995034774664,0.0021468876569785255,TRUE
109,21.270903010033447,0.0034033122540525294,0.003064111716672302,TRUE
109,16.395939086294415,0.0012513203702238962,0.0024762246276192083,TRUE
109,17.22051282051282,5.783641047266164e-4,0.0024642007066484,TRUE
112,150.6046511627907,0.20358156679300332,0.11484170777541397,TRUE
112,159.42857142857144,0.13148773288958873,0.11438253969362705,TRUE
112,21.649484536082475,0.0033422908635152133,0.004160887688676546,TRUE
