ID,peak_rank,period,mean_power,power_smooth
102,1,147.25396185005283,44.64816989463624,45.64576452284393
102,2,20.660872954985074,1.1651608935249598,1.1573515362870144
104,1,165.2869836398806,68.53387428513538,65.1488073898491
104,2,20.660872954985074,2.082238427477289,2.0664880579191798
107,1,156.0101380783226,107.75952037865632,105.05426377368502
107,2,20.660872954985074,1.4813717052160953,1.4785621592414664
108,1,156.0101380783226,23.38377125853571,23.073476057121
108,2,20.660872954985074,0.9195720963524401,0.914669940489599
109,1,165.2869836398806,54.179123867307126,50.066043801438596
109,2,20.660872954985074,0.9961269361627659,0.9860871514898052
112,1,156.0101380783226,112.36086277794782,112.22602672383019
112,2,21.889432393052765,0.7816091333762201,0.7769145677901884
